#1PLIK TESTOWY
#2
#3 tego nie wczytujemy bo to
#4 komentarze
WYMIARY 11 15
#5
#6
#7
#8
#9 tego tez nie
#10
#11 X  Y     Kod Koloru
1	1	99
2	1	99
3	1	99
4	1	99
5	1	99
6	1	99
7	1	99
8	1	99
9	1	99
10	1	99
0	1	99
1	2	99
2	2	99
3	2	99
4	2	99
5	2	99
6	2	99
7	2	99
8	2	99
9	2	99
10	2	99
0	2	99
1	3	99
2	3	99
3	3	99
4	3	99
5	3	99
6	3	99
7	3	99
8	3	99
9	3	99
10	3	99
0	3	99
1	4	99
2	4	99
3	4	99
4	4	99
5	4	99
6	4	99
7	4	99
8	4	99
9	4	99
10	4	99
0	4	99
1	5	99
2	5	99
3	5	99
4	5	99
5	5	99
6	5	99
7	5	99
8	5	99
9	5	99
10	5	99
0	5	99
# nalezy pamietać zeby nie zostawic na dole pustych linijek
